time,SOI,FQ,Load
7382.56,-4,49.4,282.2291442
7382.64,-4,49.4,282.3238612
7382.72,-4,49.4,282.4260085
7382.8,-4,49.4,282.5309045
7382.88,-4,49.4,282.6225411
7382.96,-4,49.4,282.7320589
7383.04,-4,49.4,282.8214544
7383.12,-4,49.4,282.9223642
7383.2,-4,49.4,282.6972331
7383.28,-4,49.4,283.1126934
7383.36,-4,49.4,283.2175801
7383.44,-4,49.4,283.2990967
7383.52,-4,49.4,283.4017674
7383.6,-4,49.4,283.1758094
7383.68,-4,49.4,283.2727941
7383.76,-4,49.4,283.6624542
7383.84,-4,49.4,283.7542146
7383.92,-4,49.4,283.8425892
7384,-4,49.4,283.6503388
7384.08,-4,49.4,284.0427555
7384.16,-4,49.4,283.8428305
7384.24,-4,49.4,284.2295892
7384.32,-4,49.4,284.3196592
7384.4,-4,49.4,284.4122152
7384.48,-4,49.4,284.2210575
7384.56,-4,49.4,284.5919897
7384.64,-4,49.4,284.4042859
7384.72,-4,49.4,284.4937403
7384.8,-4,49.4,284.8551846
7384.88,-4,49.4,284.669198
7384.96,-4,49.4,285.0256343
7385.04,-4,49.4,284.8439719
7385.12,-4,49.4,284.9302662
7385.2,-4,49.4,285.2731888
7385.28,-4,49.4,285.3570647
7385.36,-4,49.4,285.1769376
7385.44,-4,49.4,285.5176245
7385.52,-4,49.4,285.5953727
7385.6,-4,49.4,285.6838989
7385.68,-4,49.4,285.4261942
7385.76,-4,49.4,285.8504213
7385.84,-4,49.4,285.5985934
7385.92,-4,49.4,285.6829395
7386,-4,49.4,286.0918581
7386.08,-4,49.4,286.1705951
7386.16,-4,49.4,286.2463383
7386.24,-4,49.4,286.3202396
7386.32,-4,49.4,286.0808081
7386.4,-4,49.4,286.1538762
7386.48,-4,49.4,286.550513
7386.56,-4,49.4,286.301883
7386.64,-4,49.4,286.378356
7386.72,-4,49.4,286.7592681
7386.8,-4,49.4,286.8286437
7386.88,-4,49.4,286.8949282
7386.96,-4,49.4,286.9680212
7387.04,-4,49.4,286.7293216
7387.12,-4,49.4,287.0999631
7387.2,-4,49.4,287.1655846
7387.28,-4,49.4,287.2294869
7387.36,-4,49.4,286.9980189
